Player,Tm,Opp.,Att.,Made,Miss,Pct.
Alex Khokhlachev,N/A,1,1,1,0,1
Nikita Gusev,N/A,9,9,6,3,0.67
Maksim Mayorov,N/A,2,2,1,1,0.5
Nikolai Prokhorkin,N/A,2,2,1,1,0.5
Patrik Laine,N/A,18,18,9,9,0.5
Brayden Point,N/A,25,25,12,13,0.48
Sergei Zubov,N/A,31,31,13,18,0.42
Evgeny Kuznetsov,N/A,44,44,18,26,0.41
Elias Pettersson,N/A,17,17,7,10,0.41
Tyler Seguin,N/A,62,61,30,31,0.49
Pavel Datsyuk,N/A,100,98,40,58,0.41
Artemi Panarin,N/A,24,23,14,9,0.61
Sidney Crosby,N/A,101,96,39,57,0.41
Joe Colborne,N/A,20,19,8,11,0.42
Viktor Kozlov,N/A,39,37,17,20,0.46
Mats Zuccarello,N/A,56,53,26,27,0.49
T.J. Oshie,N/A,93,88,46,42,0.52
Brock Boeser,N/A,17,16,3,13,0.19
Wojtek Wolski,N/A,62,58,25,33,0.43
Sean Monahan,N/A,46,43,17,26,0.4
Mitchell Marner,N/A,25,23,5,18,0.22
Alexander Radulov,N/A,37,34,13,21,0.38
Jonathan Toews,N/A,110,101,51,50,0.5
Erik Christensen,N/A,60,55,29,26,0.53
Auston Matthews,N/A,24,22,7,15,0.32
Frans Nielsen,N/A,116,105,49,56,0.47
Rob Schremp,N/A,19,17,9,8,0.53
Jeff Hamilton,N/A,18,16,9,7,0.56
Mikko Rantanen,N/A,9,8,3,5,0.38
Patrick Kane,N/A,124,110,47,63,0.43
Milan Hejduk,N/A,68,60,25,35,0.42
Mikkel Boedker,N/A,49,43,14,29,0.33
Claude Giroux,N/A,106,93,28,65,0.3
Mats Sundin,N/A,30,26,11,15,0.42
Mikko Koivu,N/A,125,107,42,65,0.39
Daniel Alfredsson,N/A,69,59,19,40,0.32
Matt Duchene,N/A,68,58,21,37,0.36
Nikita Kucherov,N/A,47,40,13,27,0.33
Zach Parise,N/A,132,112,44,68,0.39
Joe Sakic,N/A,25,21,7,14,0.33
Jason Williams,N/A,42,35,13,22,0.37
Pavol Demitra,N/A,41,34,15,19,0.44
Anze Kopitar,N/A,132,109,41,68,0.38
Alex Ovechkin,N/A,131,108,34,74,0.31
Joe Pavelski,N/A,130,107,42,65,0.39
Mathew Barzal,N/A,22,18,6,12,0.33
Chris Terry,N/A,16,13,5,8,0.38
Sam Gagner,N/A,99,80,25,55,0.31
Jack Eichel,N/A,26,21,6,15,0.29
Filip Forsberg,N/A,46,37,12,25,0.32
Brandon Pirri,N/A,30,24,11,13,0.46
Connor McDavid,N/A,25,20,9,11,0.45
Michael Nylander,N/A,35,28,11,17,0.39
Nikita Filatov,N/A,5,4,1,3,0.25
Kyle Turris,N/A,97,77,28,49,0.36
Jordan Eberle,N/A,87,69,25,44,0.36
Vladimir Tarasenko,N/A,53,42,14,28,0.33
Jason Spezza,N/A,95,75,27,48,0.36
Corey Perry,N/A,127,100,33,67,0.33
Jakob Silfverberg,N/A,60,47,21,26,0.45
Alexei Kovalev,N/A,60,47,19,28,0.4
Ryan Donato,N/A,9,7,4,3,0.57
Jonathan Drouin,N/A,27,21,7,14,0.33
Cam Atkinson,N/A,53,41,15,26,0.37
Bryan Little,N/A,75,58,18,40,0.31
Jonathan Huberdeau,N/A,70,54,16,38,0.3
Gustav Nyquist,N/A,61,47,16,31,0.34
PA Parenteau,N/A,60,46,20,26,0.43
Mika Zibanejad,N/A,68,52,24,28,0.46
Jordan Weal,N/A,17,13,5,8,0.38
Jiri Hudler,N/A,72,55,19,36,0.35
Jussi Jokinen,N/A,126,96,37,59,0.39
Alexander Semin,N/A,66,50,15,35,0.3
Patrick O'Sullivan,N/A,45,34,15,19,0.44
Kris Letang,N/A,90,68,24,44,0.35
Brad Richards,N/A,110,83,31,52,0.37
Alex Galchenyuk,N/A,57,43,12,31,0.28
Miroslav Satan,N/A,48,36,15,21,0.42
Rick Nash,N/A,115,86,32,54,0.37
Daniel Briere,N/A,75,56,22,34,0.39
Aleksander Barkov,N/A,67,50,22,28,0.44
Vincent Trocheck,N/A,51,38,14,24,0.37
Marek Svatos,N/A,47,35,12,23,0.34
Teemu Selanne,N/A,78,58,21,37,0.36
Tyler Ennis,N/A,66,49,16,33,0.33
Patrice Bergeron,N/A,123,90,25,65,0.28
Nathan MacKinnon,N/A,37,27,11,16,0.41
Nolan Patrick,N/A,11,8,3,5,0.38
Kristian Huselius,N/A,50,36,12,24,0.33
