Player,Attempts,Saves,Actual_Save_Rate,Estimated_Save_Rate,SO_Rating
Marc-Andre Fleury\fleurma01,266,195,0.7330827067669173,0.7330827067669173,99.0
Andrei Vasilevskiy\vasilan02,64,54,0.84375,0.732648401826484,98.86976383376815
Semyon Varlamov\varlasi01,164,122,0.7439024390243902,0.7324657534246575,98.81499257650697
Pekka Rinne\rinnepe01,283,206,0.7279151943462897,0.7279151943462897,97.45040444175788
Antti Niemi\niemian02,245,178,0.726530612244898,0.726530612244898,97.03520616071
Thomas Greiss\greisth01,96,74,0.7708333333333334,0.7237899543378996,96.21335785660278
Anton Khudobin\khudoan01,64,52,0.8125,0.722648401826484,95.87103749872064
Petr Mrazek\mrazepe01,91,70,0.7692307692307693,0.720799086757991,95.31647851895161
Corey Crawford\crawfco01,194,140,0.7216494845360825,0.7204109589041096,95.20008959727164
Martin Jones\jonesma02,87,67,0.7701149425287356,0.7194063926940639,94.89884768233537
Tuukka Rask\rasktu01,230,165,0.717391304347826,0.717391304347826,94.29457783320429
Ryan Miller\millery01,248,177,0.7137096774193549,0.7137096774193549,93.19055867058162
Carey Price\priceca01,192,137,0.7135416666666666,0.7122146118721461,92.7422294276779
Jacob Markstrom\marksja02,121,88,0.7272727272727273,0.708744292237443,91.70157553971623
Jhonas Enroth\enrotjh01,73,55,0.7534246575342466,0.7070319634703197,91.18809500289305
Malcolm Subban\subbama01,19,18,0.9473684210526315,0.705730593607306,90.79784979490739
Eddie Lack\lacked01,44,35,0.7954545454545454,0.7056849315068494,90.78415698059213
David Rittich\rittida01,31,26,0.8387096774193549,0.7049086757990868,90.55137913723226
Louis Domingue\dominlo01,34,28,0.8235294117647058,0.7047031963470319,90.48976147281346
Henrik Lundqvist\lundqhe01,276,194,0.7028985507246377,0.7028985507246377,89.94859763748329
Sergei Bobrovsky\bobrose01,163,115,0.7055214723926381,0.7008675799086758,89.33956507032948
Linus Ullmark\ullmali01,25,21,0.84,0.7003196347031964,89.17525129854607
Josh Harding\hardijo01,53,40,0.7547169811320755,0.7000684931506849,89.09994081981198
Johan Hedberg\hedbejo01,81,59,0.7283950617283951,0.6998173515981736,89.02463034107795
Jake Allen\allenja01,80,58,0.725,0.6982191780821918,88.54538184004295
Kari Lehtonen\lehtoka01,186,130,0.6989247311827957,0.6976255707762558,88.36737525394425
Tim Thomas\thomati01,139,98,0.7050359712230215,0.6975114155251141,88.333143218156
Antero Niittymaki\niittan01,45,34,0.7555555555555555,0.6972831050228311,88.2646791465796
Jimmy Howard\howarja02,234,163,0.6965811965811965,0.6965811965811965,88.05419601370744
Ben Scrivens\scrivbe01,63,46,0.7301587301587301,0.6960502283105023,87.89497316006691
Brent Johnson\johnsbr02,22,18,0.8181818181818182,0.6955251141552511,87.73750579544108
