Player,Team,Att.,Made,Miss,Pct.
Martin Jones\jonesma02,SJS,10,0,10,100.0
Mikko Koskinen\koskimi01,EDM,6,0,6,100.0
Petr Mrazek\mrazepe01,CAR,6,0,6,100.0
Pavel Francouz\francpa01,COL,3,0,3,100.0
Charlie Lindgren\lindgch01,MTL,3,0,3,100.0
Alexandar Georgiev\georgal01,NYR,2,0,2,100.0
Tristan Jarry\jarrytr01,PIT,12,1,11,91.7
David Rittich\rittida01,CGY,21,2,19,90.5
Linus Ullmark\ullmali01,BUF,9,1,8,88.9
Anton Khudobin\khudoan01,DAL,8,1,7,87.5
Carey Price\priceca01,MTL,13,2,11,84.6
Thatcher Demko\demkoth01,VAN,12,2,10,83.3
Jonathan Bernier\bernijo01,DET,11,2,9,81.8
Andrei Vasilevskiy\vasilan02,TBL,11,2,9,81.8
James Reimer\reimeja01,CAR,13,3,10,76.9
Sam Montembeault\montesa01,FLA,13,3,10,76.9
Juuse Saros\sarosju01,NSH,24,6,18,75.0
John Gibson\gibsojo02,ANA,20,5,15,75.0
Adin Hill\hillad01,ARI,8,2,6,75.0
Brian Elliott\elliobr01,PHI,19,5,14,73.7
Carter Hart\hartca01,PHI,18,5,13,72.2
Darcy Kuemper\kuempda01,ARI,17,5,12,70.6
Braden Holtby\holtbbr01,WSH,30,9,21,70.0
Thomas Greiss\greisth01,NYI,10,3,7,70.0
Jordan Binnington\binnijo01,STL,10,3,7,70.0
Mackenzie Blackwood\blackma01,NJD,35,11,24,68.6
Jacob Markstrom\marksja02,VAN,18,6,12,66.7
Jaroslav Halak\halakja01,BOS,18,6,12,66.7
Jonathan Quick\quickjo01,LAK,15,5,10,66.7
Corey Crawford\crawfco01,CHI,12,4,8,66.7
Semyon Varlamov\varlasi01,NYI,12,4,8,66.7
Jake Allen\allenja01,STL,9,3,6,66.7
Aaron Dell\dellaa01,SJS,3,1,2,66.7
Matt Murray\murrama02,PIT,3,1,2,66.7
Malcolm Subban\subbama01,VEG,3,1,2,66.7
Elvis Merzlikins\merzlel01,CBJ,19,7,12,63.2
Frederik Andersen\anderfr01,TOR,24,9,15,62.5
Pekka Rinne\rinnepe01,NSH,5,2,3,60.0
Devan Dubnyk\dubnyde01,MIN,5,2,3,60.0
Marcus Hogberg\hogbema01,OTT,14,6,8,57.1
Laurent Brossoit\brossla01,WPG,9,4,5,55.6
Tuukka Rask\rasktu01,BOS,11,5,6,54.5
Alex Stalock\staloal01,MIN,13,6,7,53.8
Marc-Andre Fleury\fleurma01,VEG,15,7,8,53.3
Connor Hellebuyck\helleco01,WPG,8,4,4,50.0
Antti Raanta\raantan01,ARI,4,2,2,50.0
Carter Hutton\huttoca01,BUF,2,1,1,50.0
Jonas Johansson\johanjo03,BUF,2,1,1,50.0
Jimmy Howard\howarja02,DET,2,1,1,50.0
Michael Hutchinson\hutchmi01,TOR,2,1,1,50.0
Louis Domingue\dominlo01,NJD,2,1,1,50.0
Ben Bishop\bishobe01,DAL,9,5,4,44.4
Henrik Lundqvist\lundqhe01,NYR,7,4,3,42.9
Anders Nilsson\nilssan01,OTT,5,3,2,40.0
Ilya Samsonov\samsoil01,WSH,5,3,2,40.0
Curtis McElhinney\mcelhcu01,TBL,3,2,1,33.3
Philipp Grubauer\grubaph01,COL,3,2,1,33.3
Robin Lehner\lehnero01,CHI,10,7,3,30.0
Mike Smith\smithmi01,EDM,4,3,1,25.0
Sergei Bobrovsky\bobrose01,FLA,7,6,1,14.3
Cam Talbot\talboca01,CGY,2,2,0,0.0
Kaapo Kahkonen\kahkoka01,MIN,2,2,0,0.0
Joonas Korpisalo\korpijo01,CBJ,1,1,0,0.0
Antti Niemi\niemian02,MTL,7,0,7,100.0
Petr Mrazek\mrazepe01,CAR,6,0,6,100.0
Carter Hart\hartca01,PHI,5,0,5,100.0
Sergei Bobrovsky\bobrose01,CBJ,5,0,5,100.0
Cam Ward\wardca01,CHI,5,0,5,100.0
Michal Neuvirth\neuvimi01,PHI,4,0,4,100.0
Antti Raanta\raantan01,ARI,3,0,3,100.0
Malcolm Subban\subbama01,VEG,3,0,3,100.0
Calvin Petersen\peterca01,LAK,2,0,2,100.0
Thomas Greiss\greisth01,NYI,23,2,21,91.3
Jordan Binnington\binnijo01,STL,11,1,10,90.9
Linus Ullmark\ullmali01,BUF,10,1,9,90.0
Louis Domingue\dominlo01,TBL,7,1,6,85.7
Mackenzie Blackwood\blackma01,NJD,13,2,11,84.6
Jonathan Bernier\bernijo01,DET,6,1,5,83.3
Connor Hellebuyck\helleco01,WPG,6,1,5,83.3
Philipp Grubauer\grubaph01,COL,6,1,5,83.3
Anton Khudobin\khudoan01,DAL,17,3,14,82.4
Marc-Andre Fleury\fleurma01,VEG,16,3,13,81.3
Jacob Markstrom\marksja02,VAN,46,9,37,80.4
Tuukka Rask\rasktu01,BOS,10,2,8,80.0
Juuse Saros\sarosju01,NSH,10,2,8,80.0
Cam Talbot\talboca01,EDM,5,1,4,80.0
Andrei Vasilevskiy\vasilan02,TBL,14,3,11,78.6
Matt Murray\murrama02,PIT,9,2,7,77.8
Keith Kinkaid\kinkake01,NJD,8,2,6,75.0
Sam Montembeault\montesa01,FLA,4,1,3,75.0
Charlie Lindgren\lindgch01,MTL,4,1,3,75.0
Jaroslav Halak\halakja01,BOS,15,4,11,73.3
Jimmy Howard\howarja02,DET,21,6,15,71.4
Pekka Rinne\rinnepe01,NSH,14,4,10,71.4
Alex Stalock\staloal01,MIN,7,2,5,71.4
Braden Holtby\holtbbr01,WSH,10,3,7,70.0
Devan Dubnyk\dubnyde01,MIN,10,3,7,70.0
David Rittich\rittida01,CGY,10,3,7,70.0
John Gibson\gibsojo02,ANA,13,4,9,69.2
Jonathan Quick\quickjo01,LAK,19,6,13,68.4
Mikko Koskinen\koskimi01,EDM,18,6,12,66.7
Henrik Lundqvist\lundqhe01,NYR,18,6,12,66.7
Frederik Andersen\anderfr01,TOR,9,3,6,66.7
Semyon Varlamov\varlasi01,COL,9,3,6,66.7
Thatcher Demko\demkoth01,VAN,6,2,4,66.7
Ryan Miller\millery01,ANA,3,1,2,66.7
Martin Jones\jonesma02,SJS,3,1,2,66.7
Eddie Pasquale\pasqued01,TBL,3,1,2,66.7
Alexandar Georgiev\georgal01,NYR,20,7,13,65.0
Darcy Kuemper\kuempda01,ARI,19,7,12,63.2
Scott Darling\darlisc01,CAR,8,3,5,62.5
Aaron Dell\dellaa01,SJS,5,2,3,60.0
Pheonix Copley\copleph01,WSH,12,5,7,58.3
Laurent Brossoit\brossla01,WPG,7,3,4,57.1
Casey DeSmith\desmica01,PIT,7,3,4,57.1
Robin Lehner\lehnero01,NYI,11,5,6,54.5
James Reimer\reimeja01,FLA,11,5,6,54.5
Carter Hutton\huttoca01,BUF,23,11,12,52.2
Anthony Stolarz\stolaan01,PHI,6,3,3,50.0
Calvin Pickard\pickaca01,PHI,2,1,1,50.0
Cory Schneider\schneco01,NJD,9,5,4,44.4
Mike Smith\smithmi01,CGY,7,4,3,42.9
Michael Hutchinson\hutchmi01,FLA,7,4,3,42.9
Joonas Korpisalo\korpijo01,CBJ,5,3,2,40.0
Jake Allen\allenja01,STL,8,5,3,37.5
Jack Campbell\campbja01,LAK,4,3,1,25.0
Corey Crawford\crawfco01,CHI,4,3,1,25.0
Roberto Luongo\luongro01,FLA,8,7,1,12.5
Craig Anderson\andercr01,OTT,2,2,0,0.0
Malcolm Subban\subbama01,VEG,13,0,13,100.0
Joonas Korpisalo\korpijo01,CBJ,5,0,5,100.0
Carter Hutton\huttoca01,STL,4,0,4,100.0
Aaron Dell\dellaa01,SJS,3,0,3,100.0
Darcy Kuemper\kuempda01,LAK,2,0,2,100.0
Curtis McElhinney\mcelhcu01,TOR,2,0,2,100.0
Jake Allen\allenja01,STL,2,0,2,100.0
Andrei Vasilevskiy\vasilan02,TBL,16,1,15,93.8
Jimmy Howard\howarja02,DET,21,2,19,90.5
Braden Holtby\holtbbr01,WSH,9,1,8,88.9
Jaroslav Halak\halakja01,NYI,14,2,12,85.7
Ben Bishop\bishobe01,DAL,7,1,6,85.7
Semyon Varlamov\varlasi01,COL,6,1,5,83.3
Cory Schneider\schneco01,NJD,23,4,19,82.6
Alex Stalock\staloal01,MIN,10,2,8,80.0
Cam Ward\wardca01,CAR,5,1,4,80.0
Pekka Rinne\rinnepe01,NSH,34,7,27,79.4
Frederik Andersen\anderfr01,TOR,33,7,26,78.8
Anton Khudobin\khudoan01,BOS,18,4,14,77.8
Matt Murray\murrama02,PIT,9,2,7,77.8
Michal Neuvirth\neuvimi01,PHI,16,4,12,75.0
Carey Price\priceca01,MTL,12,3,9,75.0
Jonathan Quick\quickjo01,LAK,4,1,3,75.0
Louis Domingue\dominlo01,TBL,4,1,3,75.0
Connor Hellebuyck\helleco01,WPG,22,6,16,72.7
