Player,Opp.,Attempts,SOA%,Goals,Actual_Conversion_Rate,Estimated_Conversion_Rate,SO_Rating
Jonathan Toews,110,101,0.9181818181818182,51,0.504950495049505,0.43320000000000003,99.0
T.J. Oshie,93,88,0.946236559139785,46,0.5227272727272727,0.4316,98.55555555555554
Frans Nielsen,116,105,0.9051724137931034,49,0.4666666666666667,0.41600000000000004,94.22222222222223
Erik Christensen,60,55,0.9166666666666666,29,0.5272727272727272,0.406,91.44444444444444
Tyler Seguin,62,61,0.9838709677419355,30,0.4918032786885246,0.4002,89.83333333333331
Patrick Kane,124,110,0.8870967741935484,47,0.42727272727272725,0.397,88.94444444444444
Brad Boyes,124,88,0.7096774193548387,39,0.4431818181818182,0.3966,88.83333333333333
Mats Zuccarello,56,53,0.9464285714285714,26,0.49056603773584906,0.3946,88.27777777777777
Ales Kotalik,62,44,0.7096774193548387,22,0.5,0.3908,87.2222222222222
Artemi Panarin,24,23,0.9583333333333334,14,0.6086956521739131,0.3886,86.61111111111111
Mika Zibanejad,68,52,0.7647058823529411,24,0.46153846153846156,0.38639999999999997,85.99999999999997
Jacob Josefson,41,24,0.5853658536585366,13,0.5416666666666666,0.3818,84.7222222222222
Jakob Silfverberg,60,47,0.7833333333333333,21,0.44680851063829785,0.38039999999999996,84.33333333333331
Viktor Kozlov,39,37,0.9487179487179487,17,0.4594594594594595,0.3784,83.77777777777777
Jeff Hamilton,18,16,0.8888888888888888,9,0.5625,0.3762,83.16666666666666
Jeff Tambellini,31,14,0.45161290322580644,8,0.5714285714285714,0.37479999999999997,82.77777777777776
Rob Schremp,19,17,0.8947368421052632,9,0.5294117647058824,0.3744,82.66666666666666
Pavel Datsyuk,100,98,0.98,40,0.40816326530612246,0.36451732673267323,79.92147964796477
Sidney Crosby,101,96,0.9504950495049505,39,0.40625,0.362743156668608,79.42865463016888
Zach Parise,132,112,0.8484848484848485,44,0.39285714285714285,0.3619365171811299,79.2045881058694
Mikko Koivu,125,107,0.856,42,0.3925233644859813,0.3600010920209668,78.66697000582411
Joe Pavelski,130,107,0.823076923076923,42,0.3925233644859813,0.3600010920209668,78.66697000582411
Wojtek Wolski,62,58,0.9354838709677419,25,0.43103448275862066,0.35403392545136864,77.00942373649127
Jussi Jokinen,126,96,0.7619047619047619,37,0.3854166666666667,0.352743156668608,76.65087685239111
Aleksander Barkov,67,50,0.746268656716418,22,0.44,0.3519372451951077,76.42701255419658
Anze Kopitar,132,109,0.8257575757575758,41,0.3761467889908257,0.35177526208503207,76.38201724584223
Milan Hejduk,68,60,0.8823529411764706,25,0.4166666666666667,0.3508080955154339,76.1133598653983
Tyler Bozak,83,54,0.6506024096385542,23,0.42592592592592593,0.3504855853232382,76.02377370089948
Michal Handzus,98,42,0.42857142857142855,19,0.4523809523809524,0.34984056493884685,75.8446013719019
Jason Pominville,129,73,0.5658914728682171,29,0.3972602739726027,0.34984020093185786,75.8445002588494
Logan Couture,92,58,0.6304347826086957,24,0.41379310344827586,0.34903392545136863,75.62053484760239
Andy McDonald,75,49,0.6533333333333333,21,0.42857142857142855,0.3485501601630751,75.48615560085419
PA Parenteau,60,46,0.7666666666666667,20,0.43478260869565216,0.3483889050669773,75.44136251860479
Alexander Steen,115,47,0.40869565217391307,20,0.425531914893617,0.3467759900990099,74.9933305830583
Mike Santorelli,53,35,0.660377358490566,16,0.45714285714285713,0.34613096971461843,74.81415825406066
Rick Nash,115,86,0.7478260869565218,32,0.37209302325581395,0.34387230634828186,74.18675176341162
Brad Richards,110,83,0.7545454545454545,31,0.37349397590361444,0.343711051252184,74.14195868116221
Thomas Vanek,115,74,0.6434782608695652,28,0.3783783783783784,0.3432272859638905,74.00757943441403
Nicklas Backstrom,104,71,0.6826923076923077,27,0.38028169014084506,0.34306603086779264,73.96278635216461
Patrick O'Sullivan,45,34,0.7555555555555555,15,0.4411764705882353,0.3427438846825859,73.87330130071828
Pavol Demitra,41,34,0.8292682926829268,15,0.4411764705882353,0.3427438846825859,73.87330130071828
Matt Cullen,115,62,0.5391304347826087,24,0.3870967741935484,0.3425822655794991,73.8284071054164
Brayden Point,25,25,1.0,12,0.48,0.34226011939429235,73.73892205397009
Daniel Briere,75,56,0.7466666666666667,22,0.39285714285714285,0.34225975538730347,73.73882094091762
Alexei Kovalev,60,47,0.7833333333333333,19,0.40425531914893614,0.3417759900990099,73.60444169416941
Evgeny Kuznetsov,44,44,1.0,18,0.4090909090909091,0.34161473500291206,73.55964861192001
Jarret Stoll,137,35,0.25547445255474455,15,0.42857142857142855,0.3411309697146185,73.42526936517179
