Player,Tm,Att.,Made,Miss,Pct.
Blake Wheeler\wheelbl01,WPG,3,3,0,100.0
Justin Williams\williju01,CAR,3,3,0,100.0
Bryan Rust\rustbr01,PIT,2,2,0,100.0
Steven Stamkos\stamkst01,TBL,2,2,0,100.0
Mika Zibanejad\zibanmi01,NYR,2,2,0,100.0
Derek Ryan\ryande01,CGY,1,1,0,100.0
Timo Meier\meierti01,SJS,1,1,0,100.0
Daniel Carr\carrda01,NSH,1,1,0,100.0
Joonas Donskoi\donskjo01,COL,1,1,0,100.0
Anthony Beauvillier\beauvan01,NYI,1,1,0,100.0
Rasmus Dahlin\dahlira01,BUF,1,1,0,100.0
Andreas Johnsson\johnsan01,TOR,1,1,0,100.0
Mikhail Sergachev\sergami01,TBL,1,1,0,100.0
Dillon Dube\dubedi01,CGY,1,1,0,100.0
Tomas Tatar\tatarto01,MTL,1,1,0,100.0
Jesper Bratt\brattje01,NJD,1,1,0,100.0
Teddy Blueger\bluegte01,PIT,1,1,0,100.0
Denis Gurianov\guriade01,DAL,1,1,0,100.0
Ondrej Kase\kaseon01,ANA,5,4,1,80.0
Jonathan Marchessault\audymjo01,VEG,5,4,1,80.0
Filip Forsberg\forsbfi01,NSH,5,4,1,80.0
Patrick Kane\kanepa01,CHI,8,6,2,75.0
Andrei Svechnikov\svechan01,CAR,4,3,1,75.0
Nikita Gusev\gusevni01,NJD,9,6,3,66.7
Christian Dvorak\dvorach01,ARI,3,2,1,66.7
Travis Konecny\konectr01,PHI,3,2,1,66.7
Rickard Rakell\rakelri01,ANA,3,2,1,66.7
Mark Scheifele\scheima01,WPG,3,2,1,66.7
Pierre-Luc Dubois\duboipi01,CBJ,3,2,1,66.7
Jesper Boqvist\boqvije01,NJD,3,2,1,66.7
Ryan Donato\donatry01,MIN,3,2,1,66.7
Jonathan Toews\toewsjo01,CHI,8,5,3,62.5
Dylan Larkin\larkidy01,DET,5,3,2,60.0
Nicklas Backstrom\backsni02,WSH,5,3,2,60.0
Tyler Seguin\seguity01,DAL,5,3,2,60.0
Joe Pavelski\paveljo01,DAL,5,3,2,60.0
Vincent Trocheck\trochvi01,FLA,5,3,2,60.0
Elias Pettersson\petteel01,VAN,7,4,3,57.1
T.J. Oshie\oshietj01,WSH,8,4,4,50.0
Mathew Barzal\barzama01,NYI,6,3,3,50.0
Ilya Kovalchuk\kovalil01,MTL,4,2,2,50.0
Teuvo Teravainen\teravte01,CAR,4,2,2,50.0
William Nylander\nylanwi01,TOR,4,2,2,50.0
Jakob Silfverberg\silfvja01,ANA,4,2,2,50.0
Jason Spezza\spezzja01,TOR,4,2,2,50.0
Gustav Nyquist\nyquigu01,CBJ,4,2,2,50.0
Max Comtois\comtoma01,ANA,4,2,2,50.0
